adm3_pcode,Region,Zone,Woreda,NGO,activity_code,activity_raw,funding_status
ET120203,Gambela,Agnewak,Gog,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET120407,Gambela,Itang Special woreda,Itang,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET120202,Gambela,Agnewak,Gambela Zuria,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET120407,Gambela,Itang Special woreda,Itang,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET120203,Gambela,Agnewak,Gog,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET120202,Gambela,Agnewak,Gambela Zuria,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET060205,Benishangul-Gumuz,Metekel,Dibate,Premiere Urgence Internationale,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET060205,Benishangul-Gumuz,Metekel,Dibate,Premiere Urgence Internationale,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET060205,Benishangul-Gumuz,Metekel,Dibate,Premiere Urgence Internationale,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET060205,Benishangul-Gumuz,Metekel,Dibate,Premiere Urgence Internationale,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET060205,Benishangul-Gumuz,Metekel,Dibate,Premiere Urgence Internationale,SC,SAM (SC) Stabilization Centre,Fully funded
ET060207,Benishangul-Gumuz,Metekel,Bulen,Premiere Urgence Internationale,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET060207,Benishangul-Gumuz,Metekel,Bulen,Premiere Urgence Internationale,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET060207,Benishangul-Gumuz,Metekel,Bulen,Premiere Urgence Internationale,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET060207,Benishangul-Gumuz,Metekel,Bulen,Premiere Urgence Internationale,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET060207,Benishangul-Gumuz,Metekel,Bulen,Premiere Urgence Internationale,SC,SAM (SC) Stabilization Centre,Fully funded
ET060201,Benishangul-Gumuz,Metekel,Dangur,Premiere Urgence Internationale,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET060201,Benishangul-Gumuz,Metekel,Dangur,Premiere Urgence Internationale,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET060201,Benishangul-Gumuz,Metekel,Dangur,Premiere Urgence Internationale,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET060201,Benishangul-Gumuz,Metekel,Dangur,Premiere Urgence Internationale,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET060201,Benishangul-Gumuz,Metekel,Dangur,Premiere Urgence Internationale,SC,SAM (SC) Stabilization Centre,Fully funded
ET120203,Gambela,Agnewak,Gog,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET120407,Gambela,Itang Special woreda,Itang,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET120202,Gambela,Agnewak,Gambela Zuria,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET050608,Somali,Shabelle,Berocano,Concern Worldwide,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET050608,Somali,Shabelle,Berocano,Concern Worldwide,SC,SAM (SC) Stabilization Centre,Fully funded
ET050601,Somali,Shabelle,East Imi,Concern Worldwide,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030808,Amhara,Wag Hamra,Tsagbeji,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
