Region,Zone,Woreda,adm3_pcode,ngo_count,ngo_types,activity_count,records,funding_statuses,coverage_index,ngo_list,activity_list,coverage_class
Afar,Zone 2,Abaala,ET020203,3,1,10,38,1,13,Cooperative for Assistance and Relief Every where; GOAL Ethiopia; Premiere Urgence Internationale,"Capacity Building; Community led originated nutrition response; ISC package of key interventions; IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; Nutrition assessment (rapid assessments, surveys….); Nutrition Supplement/medicine; PLW_ (AM) Acute Malnutrition (+2 more)",3-4
Oromia,West Guji,Abaya,ET041513,1,1,5,7,1,6,Mothers and Children Multisectoral Development Organization,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,1
Amhara,Waghimra,Abergelle,ET030805,0,0,0,0,0,0,,,0
Tigray,Central,Abergelle Yechila,ET010210,0,0,0,0,0,0,,,0
Tigray,Central,Abi Adi,ET010211,0,0,0,0,0,0,,,0
Gambella,Agnuak,Abobo,ET120201,0,0,0,0,0,0,,,0
Somali,Shebele,Adadle,ET050602,1,1,6,18,1,7,Action Against Hunger,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; Nutrition Supplement/medicine; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,1
Tigray,Central,Adet,ET010207,1,1,3,4,1,4,Mothers and Children Multisectoral Development Organization,IYCF -E  Infant and Young Child Feeding in Emergencies; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,1
Tigray,North Western,Adidaero,ET010111,0,0,0,0,0,0,,,0
Somali,Sitti,Afdam,ET050105,0,0,0,0,0,0,,,0
Tigray,Central,Ahferom,ET010202,0,0,0,0,0,0,,,0
Tigray,Central,Ahsea,ET010215,1,1,4,32,1,5,Tigray Development Association,IYCF -E  Infant and Young Child Feeding in Emergencies; Nutrition Supplement/medicine; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,1
Amhara,South Wollo,Argoba,ET030401,1,1,1,1,1,2,Concern Worldwide,PLW_ (AM) Acute Malnutrition,1
Tigray,North Western,Asgede,ET010105,3,2,5,29,1,8,Alliance for Medical Action; International Rescue Committee; Mothers and Children Multisectoral Development Organization,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,3-4
Afar,Zone 1,Assaita,ET020103,0,0,0,0,0,0,,,0
Tigray,Eastern,Atsibi,ET010307,0,0,0,0,0,0,,,0
Tigray,Central,Axum Town,ET010213,3,1,6,257,1,9,Save the Children; SOS Children's Villages; SOS Children’s Village,Capacity Building; IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,3-4
South Ethiopia,Ari zone,Baka Dawula,ET070710,0,0,0,0,0,0,,,0
Benishangul Gumuz,Assosa,Bambasi,ET060305,0,0,0,0,0,0,,,0
Oromia,Bale,Barbare,ET041114,0,0,0,0,0,0,,,0
Somali,Afder,Bare,ET050807,0,0,0,0,0,0,,,0
Oromia,South West Shoa,Becho,ET041309,0,0,0,0,0,0,,,0
Oromia,East Hararghe,Bedeno,ET041013,1,1,6,25,1,7,Action Against Hunger,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; Nutrition Supplement/medicine; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,1
Somali,Shebele,Bercano,ET050608,0,0,0,0,0,0,,,0
Afar,Zone 2,Berihale,ET020205,0,0,0,0,0,0,,,0
Benishangul Gumuz,Assosa,Buldigilu,ET060306,0,0,0,0,0,0,,,0
Somali,Afder,Charati,ET050802,2,2,3,10,1,5,International Rescue Committee; Partnership for Pastoralist Development Association,"MAM Moderate Acute Malnutrition; Nutrition assessment (rapid assessments, surveys….); PLW_ (AM) Acute Malnutrition",2
Afar,Zone 2,Dalol,ET020206,2,1,6,16,1,8,Plan International; Premiere Urgence Internationale,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; Nutrition Supplement/medicine; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,2
Benishangul Gumuz,Metekel,Dangur,ET060201,0,0,0,0,0,0,,,0
Amhara,North Shewa,Debreberhan town,ET030520,0,0,0,0,0,0,,,0
Somali,Liben,Dekasuftu,ET050991,0,0,0,0,0,0,,,0
Oromia,Kellem Wollega,Dembi Dollo,ET041806,0,0,0,0,0,0,,,0
Benishangul Gumuz,Metekel,Dibatie,ET060205,0,0,0,0,0,0,,,0
South Ethiopia,South Omo,Dimeka Town,ET070704,0,0,0,0,0,0,,,0
Oromia,Borena,Dire,ET041211,5,1,10,51,2,15,Action Against Hunger; Cooperative for Assistance and Relief Every where; Cooperative for Assistance and Relief Everywhere; Islamic Relief; Islamic Relief Ethiopia,"Capacity Building; Community led originated nutrition response; ISC package of key interventions; IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; Nutrition assessment (rapid assessments, surveys….); Nutrition Supplement/medicine; PLW_ (AM) Acute Malnutrition (+2 more)",5-7
Tigray,South Eastern,Dogua Temben,ET010604,0,0,0,0,0,0,,,0
Somali,Liben,Dolo-Ado,ET050902,0,0,0,0,0,0,,,0
Somali,Afder,Dolo-Bay,ET050808,0,0,0,0,0,0,,,0
Somali,Shebele,East Imi,ET050601,1,1,4,18,1,5,Concern Worldwide,MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,1
Oromia,Borena,El-Woye,ET041295,0,0,0,0,0,0,,,0
Somali,Shebele,Elele,ET050698,0,0,0,0,0,0,,,0
