region,zone,woreda,adm3_pcode,hf_name,hf_id,otp_admitted_t1,otp_admitted_t2,otp_active_t1,otp_active_t2,lmri_t1_days,lmri_t2_days,lmri_t1_critical (0/1),lmri_t2_critical (0/1),lmri_delta (t2_days - t1_days),reporting_months_t1,reporting_months_t2,data_reliability_score_t2 (reporting_months_t2 / 6),low_data_flag (1 si DRS < 0.5),rutf_supply_modality_t1,rutf_supply_modality_t2
Oromia,Kellem Wollega,Dembi Dollo,ET041806,Dembi Dollo,ET041806|dembi dollo|01,184,149,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Oromia,Kellem Wollega,Dembi Dollo,ET041806,Biftu,ET041806|biftu|01,0,0,0,0,,,,,,,,,,1.0,1.0
Oromia,Kellem Wollega,Dembi Dollo,ET041806,Dollo,ET041806|dollo|01,0,0,0,0,,,,,,,,,,1.0,1.0
Oromia,Kellem Wollega,Dembi Dollo,ET041806,Denbi Dollo Hospital,ET041806|denbi dollo hospital|01,0,0,0,0,,,,,,,,,,,
Oromia,Kellem Wollega,Sayo,ET041805,Ano HC,ET041805|ano hc|01,57,56,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mander 43 Health post,ET060305|mander 43 health post|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Womba health post,ET060305|womba health post|01,4,0,1,0,0.0,,0.0,,,,,,,0.0,0.0
Oromia,West Wollega,Gimbi,ET040103,Chuta Gochi,ET040103|chuta gochi|01,9,31,1,1,120.0,21.0,1.0,0.0,-99.0,,,,,0.0,0.0
Oromia,West Wollega,Gimbi,ET040103,Inango Danbal,ET040103|inango danbal|01,10,11,1,1,60.0,33.0,1.0,1.0,-27.0,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Mendi Health center,ET040101|mendi health center|01,23,16,1,1,30.0,45.0,0.0,1.0,15.0,,,,,1.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Gombo Qiltu jale HP,ET040101|gombo qiltu jale hp|01,0,1,0,1,,100.0,,1.0,,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Lafto salga Hp,ET040101|lafto salga hp|01,0,0,0,0,,,,,,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Riga sachi Hp,ET040101|riga sachi hp|01,0,0,0,0,,,,,,,,,,0.0,0.0
Oromia,West Wollega,Lataa sibuu,ET040197,Wara Jiru HC,ET040197|wara jiru hc|01,76,34,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mander 40 health post,ET060305|mander 40 health post|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mander 42 health post,ET060305|mander 42 health post|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mander 51 health post,ET060305|mander 51 health post|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mander 52 health post,ET060305|mander 52 health post|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Afa febnare,ET060305|afa febnare|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Afa buldaro,ET060305|afa buldaro|01,0,0,0,0,,,,,,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Harawe Health center,ET040101|harawe health center|01,19,19,1,1,30.0,30.0,0.0,0.0,0.0,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,A/Danbi HP (tbe stracture not found) the only no HP,ET040101|a/danbi hp (tbe stracture not found) the only no hp|01,0,0,0,0,,,,,,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Harawe danbi HP (the name only distracted during the confilict),ET040101|harawe danbi hp (the name only distracted during the confilict)|01,0,0,0,0,,,,,,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Buke tobara HP,ET040101|buke tobara hp|01,0,0,0,0,,,,,,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Buke sachi HP (No stractural HP is found ),ET040101|buke sachi hp (no stractural hp is found )|01,0,0,0,0,,,,,,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Babo tobara HP,ET040101|babo tobara hp|01,0,0,0,0,,,,,,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Qela Dabus HP (the stracture of the HP was damaged during the confilict .),ET040101|qela dabus hp (the stracture of the hp was damaged during the confilict .)|01,3,0,1,0,150.0,,1.0,,,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Bengowa HP,ET040101|bengowa hp|01,14,0,1,0,30.0,,0.0,,,,,,,0.0,0.0
Oromia,West Wollega,Mena Sibu,ET040101,Kersa walga HP,ET040101|kersa walga hp|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Selama,ET060305|selama|01,3,8,1,1,0.0,30.0,0.0,0.0,30.0,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Shobora,ET060305|shobora|01,5,1,1,1,0.0,30.0,0.0,0.0,30.0,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Shingla,ET060305|shingla|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Jematsa Health center,ET060305|jematsa health center|01,5,3,1,1,0.0,60.0,0.0,1.0,60.0,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Keshimando 2,ET060305|keshimando 2|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mander47 HP,ET060305|mander47 hp|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mander 48 HP,ET060305|mander 48 hp|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mander 49 HP,ET060305|mander 49 hp|01,0,0,0,0,,,,,,,,,,0.0,0.0
Oromia,West Wollega,Gimbi,ET040103,Tole health post,ET040103|tole health post|01,20,8,1,1,30.0,60.0,0.0,1.0,30.0,,,,,0.0,0.0
Oromia,West Wollega,Gimbi,ET040103,Bikiltu Tokuma,ET040103|bikiltu tokuma|01,12,22,1,1,90.0,120.0,1.0,1.0,30.0,,,,,0.0,0.0
Oromia,West Wollega,Gimbi,ET040103,Jogir Health center,ET040103|jogir health center|01,13,13,1,1,10.0,21.0,0.0,0.0,11.0,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Oura,0,Mukfude,0|mukfude|01,10,3,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Oura,0,Onidel,0|onidel|01,2,5,1,1,0.0,7.0,0.0,0.0,7.0,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Oura,0,Dabus atibako,0|dabus atibako|01,6,4,1,1,0.0,5.0,0.0,0.0,5.0,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Oura,0,Mugofude,0|mugofude|01,3,8,1,1,0.0,7.0,0.0,0.0,7.0,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Oura,0,Amba 3,0|amba 3|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Oura,0,Amba 4,0|amba 4|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Oura,0,Hoha 15,0|hoha 15|01,ND,0,1,0,0.0,,0.0,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mutsa showara,ET060305|mutsa showara|01,1,2,1,1,0.0,20.0,0.0,0.0,20.0,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mutsa sirna,ET060305|mutsa sirna|01,4,9,1,1,0.0,30.0,0.0,0.0,30.0,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Eshen Almetema,ET060305|eshen almetema|01,4,2,1,1,0.0,30.0,0.0,0.0,30.0,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Eshen Alkeshafi (wolega),ET060305|eshen alkeshafi (wolega)|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mender 55,ET060305|mender 55|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Bambasi,ET060305,Mender 50,ET060305|mender 50|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Oura,0,Belmili,0|belmili|01,0,2,0,1,,10.0,,0.0,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Oura,0,Selga 20,0|selga 20|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Oura,0,Menage selga,0|menage selga|01,0,0,0,0,,,,,,,,,,0.0,0.0
Benishangul Gumuz,Assosa,Oura,0,Basha buda,0|basha buda|01,1,4,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
