Woreda,Zone,Region,Facilities_NoSupport,HR_NoSupport,LMRI_NoSupport,LowN_Flag,Facilities_Support,HR_Support,LMRI_Support,Delta
Dembi Dollo,Kellem Wollega,Oromia,1,0,0.00,1,3,0,0.00,0.00
Sayo,Kellem Wollega,Oromia,0,0,,0,4,0,0.00,
Bambasi,Assosa,Benishangul Gumuz,46,32,0.70,0,0,0,,
Gimbi,West Wollega,Oromia,12,6,0.50,0,0,0,,
Mena Sibu,West Wollega,Oromia,19,13,0.68,0,0,0,,
Lataa sibuu,West Wollega,Oromia,14,10,0.71,0,1,0,0.00,-0.71
Oura,Assosa,Benishangul Gumuz,41,4,0.10,0,0,0,,
Kolla-tembien,Central,Tigray,16,5,0.31,0,0,0,,
Buldigilu,Assosa,Benishangul Gumuz,26,0,0.00,0,0,0,,
Abi Adi,Central,Tigray,1,0,0.00,1,0,0,,
Tanqua Milash,Central,Tigray,11,0,0.00,0,0,0,,
Hawa Gelan,Kellem Wollega,Oromia,7,0,0.00,0,0,0,,
Bedeno,East Hararghe,Oromia,41,0,0.00,0,9,0,0.00,0.00
Gurawa,East Hararghe,Oromia,55,18,0.33,0,0,0,,
Gola Oda,East Hararghe,Oromia,22,3,0.14,0,0,0,,
Keyh-Tekli,Central,Tigray,13,0,0.00,0,0,0,,
Abergelle Yechila,Central,Tigray,14,0,0.00,0,0,0,,
Miyo,Borena,Oromia,29,0,0.00,0,0,0,,
Guchi,Borena,Oromia,9,0,0.00,0,0,0,,
Gog,Agnuak,Gambella,11,0,0.00,0,0,0,,
Intang,Itang Special woreda,Gambella,15,0,0.00,0,0,0,,
Mendi,West Wollega,Oromia,1,0,0.00,1,0,0,,
Tsagbiji,Waghimra,Amhara,13,0,0.00,0,0,0,,
Ziqulla,Waghimra,Amhara,12,3,0.25,0,18,2,0.11,-0.14
Gambella Zuriya,Agnuak,Gambella,0,0,,0,3,2,0.67,
Abergelle,Waghimra,Amhara,29,0,0.00,0,0,0,,
Nguenyyiel refugee camp,Itang Special woreda,Gambella,0,0,,0,1,0,0.00,
Pinyudo I refugee camp,Agnuak,Gambella,0,0,,0,1,0,0.00,
