Woreda,Zone,Region,adm3_pcode,Facilities_NoSupport,HR_NoSupport,LMRI_NoSupport,LowN_Flag,Facilities_Support,HR_Support,LMRI_Support,Delta
Shire,North Western,Tigray,ET010101,0,0,,1,3,1,0.3333,
Tahtay Koraro,North Western,Tigray,ET010104,22,3,0.1364,0,13,6,0.4615,0.3252
Asgede,North Western,Tigray,ET010105,9,2,0.2222,0,9,0,0.0,-0.2222
Adidaero,North Western,Tigray,ET010111,2,1,0.5,0,7,0,0.0,-0.5
Tsimbla,North Western,Tigray,ET010113,7,0,0.0,0,4,0,0.0,0.0
Indabaguna,North Western,Tigray,ET010114,0,0,,1,1,0,0.0,
Ahferom,Central,Tigray,ET010202,14,0,0.0,0,0,0,,
Lailay Maichew,Central,Tigray,ET010205,7,0,0.0,0,9,0,0.0,0.0
Tahtay Maychew,Central,Tigray,ET010206,13,0,0.0,0,0,0,,
Adet,Central,Tigray,ET010207,17,1,0.0588,0,0,0,,
Kolla-tembien,Central,Tigray,ET010208,15,5,0.3333,0,0,0,,
Naeder,Central,Tigray,ET010209,14,0,0.0,0,0,0,,
Abergelle Yechila,Central,Tigray,ET010210,14,0,0.0,0,0,0,,
Abi Adi,Central,Tigray,ET010211,1,0,0.0,1,0,0,,
Axum Town,Central,Tigray,ET010213,2,2,1.0,1,0,0,,
Rama,Central,Tigray,ET010214,5,0,0.0,0,4,0,0.0,0.0
Ahsea,Central,Tigray,ET010215,10,0,0.0,0,0,0,,
Hahayle,Central,Tigray,ET010217,11,1,0.0909,0,0,0,,
Embaseneyti,Central,Tigray,ET010219,10,1,0.1,0,1,0,0.0,-0.1
Keyh-Tekli,Central,Tigray,ET010221,13,0,0.0,0,0,0,,
Tanqua Milash,Central,Tigray,ET010222,11,0,0.0,0,0,0,,
Subhasaesie,Eastern,Tigray,ET010303,15,1,0.0667,0,0,0,,
Hawzen,Eastern,Tigray,ET010305,0,0,,0,25,1,0.04,
Kilte-awlaelo,Eastern,Tigray,ET010306,0,0,,0,14,12,0.8571,
Atsibi,Eastern,Tigray,ET010307,0,0,,0,15,1,0.0667,
Tsaeda Emba,Eastern,Tigray,ET010314,14,0,0.0,0,0,0,,
Tsirae Wemberta,Eastern,Tigray,ET010315,0,0,,0,14,2,0.1429,
Raya Azebo,Southern,Tigray,ET010406,9,0,0.0,0,0,0,,
Maichew,Southern,Tigray,ET010409,3,0,0.0,1,0,0,,
Mekoni,Southern,Tigray,ET010412,5,1,0.2,0,0,0,,
Seharti,South Eastern,Tigray,ET010601,0,0,,0,12,0,0.0,
Hintalo,South Eastern,Tigray,ET010603,17,15,0.8824,0,0,0,,
Dogua Temben,South Eastern,Tigray,ET010604,2,0,0.0,0,10,0,0.0,0.0
Samree,South Eastern,Tigray,ET010606,8,0,0.0,0,5,0,0.0,0.0
Assaita,Zone 1,Afar,ET020103,4,2,0.5,1,0,0,,
Abaala,Zone 2,Afar,ET020203,8,4,0.5,0,0,0,,
Berihale,Zone 2,Afar,ET020205,0,0,,1,1,0,0.0,
Dalol,Zone 2,Afar,ET020206,7,0,0.0,0,0,0,,
Raya Kobo,North Wollo,Amhara,ET030302,7,4,0.5714,0,0,0,,
Gidan,North Wollo,Amhara,ET030303,8,6,0.75,0,0,0,,
Gubalafto,North Wollo,Amhara,ET030307,1,1,1.0,1,1,0,0.0,-1.0
Habru,North Wollo,Amhara,ET030308,10,3,0.3,0,0,0,,
Argoba,South Wollo,Amhara,ET030401,9,3,0.3333,0,0,0,,
Debreberhan town,North Shewa,Amhara,ET030520,3,0,0.0,1,0,0,,
